X Grid Position, Y  Grid Position, VecX, VecY, VecZ
6,12,2.826434,-2.56485,6.023241
6,13,2.835073,-2.503187,6.531307
6,14,2.847281,-2.417592,7.034678
6,15,2.863792,-2.305678,7.536287
6,16,2.884757,-2.163223,8.038865
6,17,2.9094,-1.989518,8.538663
6,18,2.93508,-1.770387,9.044556
6,19,2.932871,-1.766431,9.548651
7,0,3.5,-1.760619,-0.04934277
7,1,3.5,-1.76423,0.4554414
7,2,3.5,-1.992088,0.9619412
7,3,3.5,-2.165141,1.461874
7,4,3.5,-2.308857,1.964403
7,5,3.5,-2.422942,2.465889
7,6,3.5,-2.510748,2.969102
7,7,3.5,-2.574289,3.476988
7,8,3.5,-2.615358,3.985835
7,9,3.5,-2.635495,4.495221
7,10,3.5,-2.635495,5.004779
7,11,3.5,-2.615358,5.514165
7,12,3.5,-2.574289,6.02301
7,13,3.5,-2.510749,6.530895
7,14,3.5,-2.422943,7.034109
7,15,3.5,-2.308857,7.535598
7,16,3.5,-2.165141,8.038124
7,17,3.5,-1.992088,8.538057
7,18,3.5,-1.764231,9.044554
7,19,3.5,-1.760619,9.549344
8,0,4.067131,-1.766431,-0.04865183
8,1,4.064913,-1.770388,0.4554485
8,2,4.0906,-1.989519,0.9613375
8,3,4.115247,-2.163224,1.461141
8,4,4.136206,-2.305678,1.963718
8,5,4.152723,-2.417592,2.465325
8,6,4.164926,-2.503187,2.968691
8,7,4.173562,-2.564849,3.476756
8,8,4.179048,-2.604586,3.985726
8,9,4.181716,-2.62404,4.495192
8,10,4.181716,-2.62404,5.004808
8,11,4.179048,-2.604586,5.514273
8,12,4.173562,-2.56485,6.023241
8,13,4.164926,-2.503187,6.531307
8,14,4.152723,-2.417591,7.034678
8,15,4.136206,-2.305678,7.536287
8,16,4.115247,-2.163223,8.038865
8,17,4.0906,-1.989518,8.538663
8,18,4.064913,-1.770387,9.044556
8,19,4.067131,-1.766431,9.548651
9,0,4.6433,-1.734723,-0.0499362
9,1,4.637109,-1.739646,0.4532417
9,2,4.700982,-1.967514,0.9591577
9,3,4.755493,-2.150787,1.459192
9,4,4.800636,-2.28712,1.961996
9,5,4.834716,-2.390852,2.464015
9,6,4.859228,-2.46885,2.967856
9,7,4.876279,-2.524309,3.476392
9,8,4.887009,-2.559761,3.985617
9,9,4.892193,-2.577044,4.495173
9,10,4.892193,-2.577044,5.004827
9,11,4.887009,-2.559761,5.51438
9,12,4.876279,-2.52431,6.023605
9,13,4.859228,-2.46885,6.532142
9,14,4.834716,-2.390852,7.035986
9,15,4.800636,-2.28712,7.538008
9,16,4.755493,-2.150788,8.040805
9,17,4.700982,-1.967515,8.540839
9,18,4.637109,-1.739646,9.046758
9,19,4.6433,-1.734722,9.549942
10,0,5.238489,-1.672196,-0.05001057
10,1,5.227799,-1.679422,0.4514259
10,2,5.354385,-1.915106,0.9569438
10,3,5.457613,-2.090722,1.457122
10,4,5.530442,-2.21267,1.960961
10,5,5.581943,-2.296728,2.463837
10,6,5.617488,-2.358737,2.96839
10,7,5.641602,-2.402013,3.477293
10,8,5.656527,-2.42938,3.986367
10,9,5.663673,-2.442662,4.49545
10,10,5.663673,-2.442662,5.00455
10,11,5.656528,-2.42938,5.513638
10,12,5.641602,-2.402013,6.022707
10,13,5.617488,-2.358737,6.531612
10,14,5.581943,-2.296727,7.036165
10,15,5.530442,-2.212669,7.539033
10,16,5.457613,-2.090723,8.042875
10,17,5.354388,-1.915108,8.543049
10,18,5.227799,-1.679423,9.048571
10,19,5.238489,-1.672197,9.550011
11,0,5.866742,-1.528243,-0.04757087
11,1,5.851528,-1.539979,0.4511755
11,2,6.099215,-1.744305,0.9584812
11,3,6.262316,-1.855571,1.460971
11,4,6.360416,-1.933386,1.967448
11,5,6.417058,-1.984444,2.471786
11,6,6.455638,-2.017277,2.976401
11,7,6.480836,-2.039936,3.483762
11,8,6.496073,-2.054358,3.990469
11,9,6.503223,-2.061454,4.496848
11,10,6.503223,-2.061453,5.003152
11,11,6.496074,-2.054358,5.509529
11,12,6.480836,-2.039936,6.016237
11,13,6.455638,-2.017277,6.523602
11,14,6.417058,-1.984444,7.028216
11,15,6.360414,-1.933386,7.532557
11,16,6.262316,-1.855572,8.039015
11,17,6.099214,-1.744304,8.54151
11,18,5.851528,-1.539978,9.048825
11,19,5.866742,-1.528242,9.547572
12,0,6.497814,-1.175021,-0.03263637
12,1,6.479904,-1.193913,0.4651209
12,2,6.833432,-1.104244,0.9877393
12,3,6.925511,-1.046211,1.499801
12,4,6.95586,-1.040337,2.00545
12,5,6.970369,-1.059146,2.506783
12,6,6.975705,-1.070725,3.006227
12,7,6.978998,-1.07345,3.504011
12,8,6.980933,-1.076609,4.002339
12,9,6.981778,-1.078597,4.500771
12,10,6.981778,-1.078597,4.999229
12,11,6.980932,-1.076608,5.497663
12,12,6.978998,-1.073449,5.995989
12,13,6.975706,-1.070723,6.493771
12,14,6.970369,-1.059146,6.993216
12,15,6.95586,-1.040337,7.494547
12,16,6.925511,-1.046212,8.000198
12,17,6.833434,-1.104243,8.512255
12,18,6.479903,-1.193913,9.034876
12,19,6.497814,-1.17502,9.532635
13,0,6.507539,-0.6358544,-0.01706544
13,1,6.511716,-0.6357267,0.4858222
13,2,6.512311,-0.7015222,0.9895155
13,3,6.512291,-0.7658091,1.491478
13,4,6.511634,-0.8279912,1.993898
13,5,6.509229,-0.8874635,2.49478
13,6,6.508469,-0.9132945,2.994918
13,7,6.507872,-0.9331126,3.496198
13,8,6.507457,-0.9465063,3.997647
13,9,6.507248,-0.9532549,4.499206
13,10,6.507248,-0.9532549,5.000794
13,11,6.507457,-0.9465064,5.502353
13,12,6.507872,-0.9331126,6.003803
13,13,6.508469,-0.9132946,6.505081
13,14,6.509229,-0.8874635,7.005218
13,15,6.511634,-0.8279913,7.506103
13,16,6.512291,-0.765809,8.008521
13,17,6.512311,-0.7015222,8.510483
13,18,6.511716,-0.6357266,9.014179
13,19,6.507539,-0.6358544,9.517066
14,0,6.488792,-0.1014304,-0.002774043
14,1,6.474415,-0.1205658,0.5022122
14,2,6.13666,-0.34118,0.9875382
14,3,6.04265,-0.5440035,1.477681
14,4,6.01126,-0.6845671,1.97601
14,5,6.001565,-0.7830818,2.476572
14,6,5.994744,-0.838486,2.979653
14,7,5.99088,-0.8747246,3.485937
14,8,5.989236,-0.8975446,3.991573
14,9,5.988552,-0.9086713,4.497181
14,10,5.988552,-0.9086713,5.002819
14,11,5.989236,-0.8975445,5.508429
14,12,5.99088,-0.874725,6.01406
14,13,5.994744,-0.8384881,6.520345
14,14,6.001565,-0.7830814,7.023427
14,15,6.01126,-0.6845669,7.523992
14,16,6.042649,-0.5440039,8.022313
14,17,6.13666,-0.3411797,8.51246
14,18,6.474414,-0.1205655,8.997783
14,19,6.488784,-0.1014322,9.502766
