X Grid Position, Y  Grid Position, VecX, VecY, VecZ
0,0,0.2779704,0.4486897,0
0,1,0.2779704,0.4486897,0.5
0,2,0.6636185,0.4743943,1
0,3,0.8034324,0.4005098,1.5
0,4,0.8034324,0.4005098,2
0,5,0.8034324,0.4005098,2.5
0,6,0.8034324,0.4005098,3
0,7,0.8034324,0.4005098,3.5
0,8,0.8034324,0.4005098,4
0,9,0.8034324,0.4005098,4.5
0,10,0.8034324,0.4005098,5
0,11,0.8034324,0.4005098,5.5
0,12,0.8034324,0.4005098,6
0,13,0.8034324,0.4005098,6.5
0,14,0.8034324,0.4005098,7
0,15,0.8034324,0.4005098,7.5
0,16,0.8034324,0.4005098,8
0,17,0.6636185,0.4743943,8.5
0,18,0.2779704,0.4486897,9
0,19,0.2779704,0.4486897,9.5
1,0,0.5,0,0
1,1,0.5,0,0.5
1,2,0.5,0,1
1,3,0.5,0,1.5
1,4,0.5,0,2
1,5,0.5,0,2.5
1,6,0.5,0,3
1,7,0.5,0,3.5
1,8,0.5,0,4
1,9,0.5,0,4.5
1,10,0.5,0,5
1,11,0.5,0,5.5
1,12,0.5,0,6
1,13,0.5,0,6.5
1,14,0.5,0,7
1,15,0.5,0,7.5
1,16,0.5,0,8
1,17,0.5,0,8.5
1,18,0.5,0,9
1,19,0.5,0,9.5
2,0,0.722029,-0.4486895,0
2,1,0.722029,-0.4486895,0.5
2,2,0.3363818,-0.4743945,1
2,3,0.1965672,-0.4005091,1.5
2,4,0.1965672,-0.4005091,2
2,5,0.1965672,-0.4005091,2.5
2,6,0.1965672,-0.4005091,3
2,7,0.1965672,-0.4005091,3.5
2,8,0.1965672,-0.4005091,4
2,9,0.1965672,-0.4005091,4.5
2,10,0.1965672,-0.4005091,5
2,11,0.1965672,-0.4005091,5.5
2,12,0.1965672,-0.4005091,6
2,13,0.1965672,-0.4005091,6.5
2,14,0.1965672,-0.4005091,7
2,15,0.1965672,-0.4005091,7.5
2,16,0.1965672,-0.4005091,8
2,17,0.3363818,-0.4743945,8.5
2,18,0.722029,-0.4486895,9
2,19,0.722029,-0.4486895,9.5
3,0,1.369969,-0.4936452,0
