X Grid Position, Y  Grid Position, VecX, VecY, VecZ
0,0,0.5002312,0.5012383,0
0,1,0.5002312,0.5012383,0.5
0,2,0.8427067,0.2825121,1
0,3,0.9062309,0.09609719,1.5
0,4,0.9105712,-0.01131077,2
0,5,0.9063815,-0.07468168,2.5
0,6,0.9021313,-0.1094588,3
0,7,0.8985282,-0.132812,3.5
0,8,0.8965521,-0.1430745,4
0,9,0.8957238,-0.1476602,4.5
0,10,0.8957238,-0.1476602,5
0,11,0.8965521,-0.1430744,5.5
0,12,0.8985282,-0.132812,6
0,13,0.9021315,-0.1094588,6.5
0,14,0.9063815,-0.07468162,7
0,15,0.9105712,-0.01131083,7.5
0,16,0.9062309,0.09609719,8
0,17,0.8427067,0.2825121,8.5
0,18,0.5002312,0.5012383,9
0,19,0.5002312,0.5012383,9.5
1,0,0.5,0,0
1,1,0.5,0,0.5
1,2,0.5,0,1
1,3,0.5,0,1.5
1,4,0.5,0,2
1,5,0.5,0,2.5
1,6,0.5,0,3
1,7,0.5,0,3.5
1,8,0.5,0,4
1,9,0.5,0,4.5
1,10,0.5,0,5
1,11,0.5,0,5.5
1,12,0.5,0,6
1,13,0.5,0,6.5
1,14,0.5,0,7
1,15,0.5,0,7.5
1,16,0.5,0,8
1,17,0.5,0,8.5
1,18,0.5,0,9
1,19,0.5,0,9.5
2,0,0.4253595,-0.6092004,0
2,1,0.4253595,-0.6092004,0.5
2,2,0.07846491,-0.4356001,1
2,3,-0.03217897,-0.3079785,1.5
2,4,-0.07778091,-0.2322934,2
2,5,-0.09910572,-0.1798092,2.5
2,6,-0.1065362,-0.1430528,3
2,7,-0.1103826,-0.1166918,3.5
2,8,-0.1117883,-0.1052705,4
2,9,-0.1123334,-0.09988961,4.5
2,10,-0.1123333,-0.09988961,5
2,11,-0.1117883,-0.1052704,5.5
2,12,-0.1103826,-0.116692,6
2,13,-0.1065362,-0.1430528,6.5
2,14,-0.09910568,-0.1798092,7
2,15,-0.07778101,-0.2322938,7.5
2,16,-0.032179,-0.3079785,8
2,17,0.07846491,-0.4356001,8.5
2,18,0.4253595,-0.6092004,9
2,19,0.4253595,-0.6092004,9.5
3,0,1.047796,-1.08665,0
3,1,1.047796,-1.08665,0.5
3,2,0.7894333,-1.233073,1
3,3,0.6058224,-1.288915,1.5
3,4,0.4814916,-1.305382,2
3,5,0.3957269,-1.312616,2.5
3,6,0.3327455,-1.312126,3
3,7,0.28409,-1.303378,3.5
3,8,0.2649266,-1.296625,4
3,9,0.2559525,-1.293386,4.5
3,10,0.2559523,-1.293386,5
3,11,0.2649266,-1.296625,5.5
3,12,0.28409,-1.303378,6
3,13,0.3327454,-1.312126,6.5
3,14,0.3957268,-1.312616,7
3,15,0.4814916,-1.305382,7.5
3,16,0.6058224,-1.288915,8
3,17,0.7894332,-1.233073,8.5
3,18,1.047796,-1.08665,9
3,19,1.047796,-1.08665,9.5
4,0,1.693917,-1.281303,0
4,1,1.693917,-1.281303,0.5
4,2,1.550205,-1.491018,1
4,3,1.426862,-1.642993,1.5
4,4,1.332366,-1.757905,2
4,5,1.261329,-1.845509,2.5
4,6,1.206704,-1.912036,3
