X Grid Position, Y  Grid Position, VecX, VecY, VecZ
0,0,0,0,0
0,1,0,0,0.5
0,2,0,0,1
0,3,0,0,1.5
0,4,0,0,2
0,5,0,0,2.5
0,6,0,0,3
0,7,0,0,3.5
0,8,0,0,4
0,9,0,0,4.5
0,10,0,0,5
0,11,0,0,5.5
0,12,0,0,6
0,13,0,0,6.5
0,14,0,0,7
0,15,0,0,7.5
0,16,0,0,8
0,17,0,0,8.5
0,18,0,0,9
0,19,0,0,9.5
1,0,0.5,0,0
1,1,0.5,0,0.5
1,2,0.5,0,1
1,3,0.5,0,1.5
1,4,0.5,0,2
1,5,0.5,0,2.5
1,6,0.5,0,3
1,7,0.5,0,3.5
1,8,0.5,0,4
1,9,0.5,0,4.5
1,10,0.5,0,5
1,11,0.5,0,5.5
1,12,0.5,0,6
1,13,0.5,0,6.5
1,14,0.5,0,7
1,15,0.5,0,7.5
1,16,0.5,0,8
1,17,0.5,0,8.5
1,18,0.5,0,9
1,19,0.5,0,9.5
2,0,1,0,0
2,1,1,0,0.5
2,2,1,0,1
2,3,1,0,1.5
2,4,1,0,2
2,5,1,0,2.5
2,6,1,0,3
2,7,1,0,3.5
2,8,1,0,4
2,9,1,0,4.5
2,10,1,0,5
2,11,1,0,5.5
2,12,1,0,6
2,13,1,0,6.5
2,14,1,0,7
2,15,1,0,7.5
2,16,1,0,8
2,17,1,0,8.5
2,18,1,0,9
2,19,1,0,9.5
3,0,1.5,0,0
3,1,1.5,0,0.5
3,2,1.5,0,1
3,3,1.5,0,1.5
3,4,1.5,0,2
3,5,1.5,0,2.5
3,6,1.5,0,3
3,7,1.5,0,3.5
3,8,1.5,0,4
3,9,1.5,0,4.5
3,10,1.5,0,5
3,11,1.5,0,5.5
3,12,1.5,0,6
3,13,1.5,0,6.5
3,14,1.5,0,7
3,15,1.5,0,7.5
3,16,1.5,0,8
3,17,1.5,0,8.5
3,18,1.5,0,9
3,19,1.5,0,9.5
4,0,2,0,0
4,1,2,0,0.5
4,2,2,0,1
4,3,2,0,1.5
4,4,2,0,2
4,5,2,0,2.5
4,6,2,0,3
4,7,2,0,3.5
4,8,2,0,4
4,9,2,0,4.5
4,10,2,0,5
4,11,2,0,5.5
4,12,2,0,6
4,13,2,0,6.5
4,14,2,0,7
4,15,2,0,7.5
4,16,2,0,8
4,17,2,0,8.5
4,18,2,0,9
4,19,2,0,9.5
5,0,2.5,0,0
5,1,2.5,0,0.5
5,2,2.5,0,1
5,3,2.5,0,1.5
5,4,2.5,0,2
5,5,2.5,0,2.5
5,6,2.5,0,3
5,7,2.5,0,3.5
5,8,2.5,0,4
5,9,2.5,0,4.5
5,10,2.5,0,5
5,11,2.5,0,5.5
5,12,2.5,0,6
5,13,2.5,0,6.5
5,14,2.5,0,7
5,15,2.5,0,7.5
5,16,2.5,0,8
5,17,2.5,0,8.5
5,18,2.5,0,9
5,19,2.5,0,9.5
6,0,3,0,0
6,1,3,0,0.5
6,2,3,0,1
6,3,3,0,1.5
6,4,3,0,2
6,5,3,0,2.5
6,6,3,0,3
6,7,3,0,3.5
6,8,3,0,4
6,9,3,0,4.5
6,10,3,0,5
6,11,3,0,5.5
6,12,3,0,6
6,13,3,0,6.5
6,14,3,0,7
6,15,3,0,7.5
6,16,3,0,8
6,17,3,0,8.5
6,18,3,0,9
6,19,3,0,9.5
7,0,3.5,0,0
7,1,3.5,0,0.5
7,2,3.5,0,1
7,3,3.5,0,1.5
7,4,3.5,0,2
7,5,3.5,0,2.5
7,6,3.5,0,3
7,7,3.5,0,3.5
7,8,3.5,0,4
7,9,3.5,0,4.5
7,10,3.5,0,5
7,11,3.5,0,5.5
7,12,3.5,0,6
7,13,3.5,0,6.5
7,14,3.5,0,7
7,15,3.5,0,7.5
7,16,3.5,0,8
7,17,3.5,0,8.5
7,18,3.5,0,9
7,19,3.5,0,9.5
8,0,4,0,0
8,1,4,0,0.5
8,2,4,0,1
8,3,4,0,1.5
8,4,4,0,2
8,5,4,0,2.5
8,6,4,0,3
8,7,4,0,3.5
8,8,4,0,4
8,9,4,0,4.5
8,10,4,0,5
8,11,4,0,5.5
8,12,4,0,6
8,13,4,0,6.5
8,14,4,0,7
8,15,4,0,7.5
8,16,4,0,8
8,17,4,0,8.5
8,18,4,0,9
8,19,4,0,9.5
9,0,4.5,0,0
9,1,4.5,0,0.5
9,2,4.5,0,1
9,3,4.5,0,1.5
9,4,4.5,0,2
9,5,4.5,0,2.5
9,6,4.5,0,3
9,7,4.5,0,3.5
9,8,4.5,0,4
9,9,4.5,0,4.5
9,10,4.5,0,5
9,11,4.5,0,5.5
9,12,4.5,0,6
9,13,4.5,0,6.5
9,14,4.5,0,7
9,15,4.5,0,7.5
9,16,4.5,0,8
9,17,4.5,0,8.5
9,18,4.5,0,9
9,19,4.5,0,9.5
10,0,5,0,0
10,1,5,0,0.5
10,2,5,0,1
10,3,5,0,1.5
10,4,5,0,2
10,5,5,0,2.5
10,6,5,0,3
10,7,5,0,3.5
10,8,5,0,4
10,9,5,0,4.5
10,10,5,0,5
10,11,5,0,5.5
10,12,5,0,6
10,13,5,0,6.5
10,14,5,0,7
10,15,5,0,7.5
10,16,5,0,8
10,17,5,0,8.5
10,18,5,0,9
10,19,5,0,9.5
11,0,5.5,0,0
11,1,5.5,0,0.5
11,2,5.5,0,1
11,3,5.5,0,1.5
11,4,5.5,0,2
11,5,5.5,0,2.5
11,6,5.5,0,3
11,7,5.5,0,3.5
11,8,5.5,0,4
11,9,5.5,0,4.5
11,10,5.5,0,5
11,11,5.5,0,5.5
11,12,5.5,0,6
11,13,5.5,0,6.5
11,14,5.5,0,7
11,15,5.5,0,7.5
11,16,5.5,0,8
11,17,5.5,0,8.5
11,18,5.5,0,9
11,19,5.5,0,9.5
12,0,6,0,0
12,1,6,0,0.5
12,2,6,0,1
12,3,6,0,1.5
12,4,6,0,2
12,5,6,0,2.5
12,6,6,0,3
12,7,6,0,3.5
12,8,6,0,4
12,9,6,0,4.5
12,10,6,0,5
12,11,6,0,5.5
12,12,6,0,6
12,13,6,0,6.5
12,14,6,0,7
12,15,6,0,7.5
12,16,6,0,8
12,17,6,0,8.5
12,18,6,0,9
12,19,6,0,9.5
13,0,6.5,0,0
13,1,6.5,0,0.5
13,2,6.5,0,1
13,3,6.5,0,1.5
13,4,6.5,0,2
13,5,6.5,0,2.5
13,6,6.5,0,3
13,7,6.5,0,3.5
13,8,6.5,0,4
13,9,6.5,0,4.5
13,10,6.5,0,5
13,11,6.5,0,5.5
13,12,6.5,0,6
13,13,6.5,0,6.5
13,14,6.5,0,7
13,15,6.5,0,7.5
13,16,6.5,0,8
13,17,6.5,0,8.5
13,18,6.5,0,9
13,19,6.5,0,9.5
14,0,7,0,0
14,1,7,0,0.5
14,2,7,0,1
14,3,7,0,1.5
14,4,7,0,2
14,5,7,0,2.5
14,6,7,0,3
14,7,7,0,3.5
14,8,7,0,4
