X Grid Position, Y  Grid Position, VecX, VecY, VecZ
0,0,0.476163,0.5005965,0
0,1,0.476163,0.5005965,0.5
0,2,0.8400627,0.3702079,1
0,3,0.9389201,0.2466528,1.5
0,4,0.9726484,0.1747186,2
0,5,0.9870722,0.1301998,2.5
0,6,0.9942509,0.100437,3
0,7,0.9982111,0.07928181,3.5
0,8,1.000561,0.06352551,4
0,9,1.00203,0.05135735,4.5
0,10,1.00203,0.05135735,5
0,11,1.000561,0.06352542,5.5
0,12,0.9982111,0.07928181,6
0,13,0.9942508,0.100437,6.5
0,14,0.9870722,0.1301998,7
0,15,0.9726484,0.1747186,7.5
0,16,0.9389201,0.2466528,8
0,17,0.8400627,0.3702079,8.5
0,18,0.476163,0.5005965,9
0,19,0.476163,0.5005965,9.5
1,0,0.5,0,0
1,1,0.5,0,0.5
1,2,0.5,0,1
1,3,0.5,0,1.5
1,4,0.5,0,2
1,5,0.5,0,2.5
1,6,0.5,0,3
1,7,0.5,0,3.5
1,8,0.5,0,4
1,9,0.5,0,4.5
1,10,0.5,0,5
1,11,0.5,0,5.5
1,12,0.5,0,6
1,13,0.5,0,6.5
1,14,0.5,0,7
1,15,0.5,0,7.5
1,16,0.5,0,8
1,17,0.5,0,8.5
1,18,0.5,0,9
1,19,0.5,0,9.5
2,0,0.5238373,-0.5005966,0
2,1,0.5238373,-0.5005966,0.5
2,2,0.1599371,-0.3702076,1
2,3,0.06107977,-0.2466537,1.5
2,4,0.02735145,-0.1747187,2
2,5,0.01292787,-0.1301996,2.5
2,6,0.005748871,-0.1004374,3
2,7,0.001788531,-0.07928067,3.5
2,8,-0.0005614824,-0.06352629,4
2,9,-0.002030255,-0.05135759,4.5
2,10,-0.002030255,-0.05135759,5
2,11,-0.0005614825,-0.06352629,5.5
2,12,0.001788539,-0.07928069,6
2,13,0.005748867,-0.1004374,6.5
2,14,0.01292779,-0.1301997,7
2,15,0.02735148,-0.1747187,7.5
2,16,0.0610798,-0.2466536,8
2,17,0.1599372,-0.3702077,8.5
2,18,0.5238372,-0.5005966,9
2,19,0.5238372,-0.5005966,9.5
3,0,1.148889,-0.7618676,0
3,1,1.148889,-0.7618676,0.5
3,2,0.8792786,-0.9267969,1
3,3,0.6896428,-0.9837987,1.5
3,4,0.5687108,-0.9999065,2
3,5,0.489403,-1.002453,2.5
3,6,0.4346955,-1.000557,3
3,7,0.3951328,-0.9973192,3.5
3,8,0.3653725,-0.9938406,4
3,9,0.3422555,-0.990516,4.5
3,10,0.3422555,-0.990516,5
3,11,0.3653725,-0.9938406,5.5
3,12,0.3951328,-0.9973192,6
3,13,0.4346955,-1.000557,6.5
