X Grid Position, Y  Grid Position, VecX, VecY, VecZ
0,0,0.4859933,-0.2232097,0.001395247
0,1,0.4995238,-0.220459,0.5055534
0,2,0.8442634,-0.4074474,0.9955738
0,3,0.9436917,-0.5819615,1.488175
0,4,0.9777865,-0.6943156,1.985189
0,5,0.9925283,-0.7705699,2.485224
0,6,1.000028,-0.8241931,2.987075
0,7,1.004197,-0.8613462,3.490062
0,8,1.006504,-0.884972,3.993772
0,9,1.007548,-0.8964963,4.497884
0,10,1.007548,-0.8964968,5.002116
0,11,1.006504,-0.884972,5.506229
0,12,1.004197,-0.8613467,6.009937
0,13,1.000028,-0.8241931,6.512928
0,14,0.9925284,-0.7705702,7.014771
0,15,0.9777868,-0.6943165,7.514814
0,16,0.9436921,-0.5819625,8.011821
0,17,0.8442629,-0.4074464,8.504431
0,18,0.4995266,-0.2204594,8.994439
0,19,0.4859958,-0.22321,9.498598
1,0,0.4902514,-0.7564594,-0.006615657
1,1,0.4874666,-0.7360041,0.494112
1,2,0.4889674,-0.7798054,0.9962314
1,3,0.4905207,-0.8203212,1.496295
1,4,0.4920421,-0.8567404,1.9965
1,5,0.4934479,-0.888241,2.496856
1,6,0.4946629,-0.9141606,2.997364
1,7,0.4956266,-0.9339981,3.498007
1,8,0.4962931,-0.9474034,3.998758
1,9,0.4966342,-0.9541585,4.499585
1,10,0.4966342,-0.9541585,5.000415
1,11,0.4962931,-0.9474034,5.501241
1,12,0.4956266,-0.9339982,6.001993
1,13,0.4946629,-0.9141606,6.502636
1,14,0.4934479,-0.8882409,7.003144
1,15,0.4920421,-0.8567404,7.5035
1,16,0.4905207,-0.8203213,8.0037
1,17,0.4889674,-0.7798054,8.503769
1,18,0.4874666,-0.7360042,9.005885
1,19,0.4902514,-0.7564594,9.506613
2,0,0.5029734,-1.285534,-0.01472372
2,1,0.5207275,-1.282089,0.4810446
2,2,0.1606179,-1.176374,0.996169
2,3,0.06608992,-1.094071,1.502767
2,4,0.03506916,-1.061426,2.005851
2,5,0.02268871,-1.052094,2.506593
2,6,0.01718068,-1.052713,3.006029
2,7,0.01461437,-1.056755,3.504714
2,8,0.01343534,-1.06085,4.002975
2,9,0.01297388,-1.063266,4.501011
2,10,0.01297388,-1.063266,4.998989
2,11,0.01343526,-1.06085,5.497026
2,12,0.01461436,-1.056754,5.995277
2,13,0.01718087,-1.052713,6.49397
2,14,0.02268884,-1.052094,6.993407
2,15,0.0350686,-1.061425,7.494149
2,16,0.06608954,-1.094071,7.997238
2,17,0.1606191,-1.176375,8.503837
2,18,0.5207253,-1.282089,9.018952
2,19,0.502977,-1.285534,9.514729
3,0,1.133759,-1.62239,-0.02446633
3,1,1.14975,-1.611027,0.4709553
3,2,0.8992147,-1.799565,0.9777842
3,3,0.7314184,-1.891466,1.477137
3,4,0.6286503,-1.945689,1.979043
3,5,0.5652548,-1.983672,2.482084
3,6,0.5254762,-2.012114,2.985672
3,7,0.5006821,-2.033002,3.489571
3,8,0.486164,-2.046866,3.99367
3,9,0.4794451,-2.053799,4.497883
3,10,0.4794451,-2.053799,5.002117
3,11,0.4861638,-2.046866,5.506335
3,12,0.500682,-2.033002,6.010431
3,13,0.5254763,-2.012114,6.51433
3,14,0.5652544,-1.983672,7.017914
3,15,0.6286502,-1.94569,7.520955
3,16,0.7314175,-1.891466,8.022864
3,17,0.8992155,-1.799565,8.522224
3,18,1.149749,-1.611028,9.029039
3,19,1.133761,-1.622389,9.524466
4,0,1.7655,-1.742791,-0.02757401
4,1,1.777492,-1.725537,0.4696785
4,2,1.650228,-1.947988,0.975179
4,3,1.543053,-2.107669,1.473345
4,4,1.463381,-2.221215,1.974038
4,5,1.407444,-2.302971,2.476662
4,6,1.369357,-2.361952,2.980643
4,7,1.344371,-2.403229,3.485564
4,8,1.329288,-2.429569,3.991101
4,9,1.32219,-2.442427,4.497013
4,10,1.32219,-2.442427,5.002987
4,11,1.329288,-2.429569,5.508902
4,12,1.344371,-2.403229,6.014436
4,13,1.369356,-2.361952,6.519349
4,14,1.407444,-2.302971,7.023338
4,15,1.463381,-2.221215,7.525953
4,16,1.543052,-2.107669,8.026657
4,17,1.650229,-1.947985,8.524829
4,18,1.777492,-1.725537,9.030321
4,19,1.7655,-1.742791,9.527573
5,0,2.360657,-1.792606,-0.02825394
5,1,2.368364,-1.7721,0.470302
5,2,2.304155,-1.986082,0.975787
5,3,2.245041,-2.159416,1.474254
5,4,2.196555,-2.294774,1.974704
5,5,2.159718,-2.397797,2.476937
5,6,2.133197,-2.474159,2.98062
5,7,2.115146,-2.528173,3.485398
5,8,2.104001,-2.562741,3.990938
5,9,2.098689,-2.579612,4.496927
5,10,2.098689,-2.579612,5.003073
5,11,2.104001,-2.562741,5.50906
5,12,2.115146,-2.528173,6.0146
5,13,2.133197,-2.474159,6.51938
