X Grid Position, Y  Grid Position, VecX, VecY, VecZ
0,0,0.4268303,0.4956458,0
0,1,0.4268303,0.4956458,0.5
0,2,0.8017827,0.4017432,1
0,3,0.9122881,0.2885286,1.5
0,4,0.9529104,0.220275,2
0,5,0.971631,0.1774018,2.5
0,6,0.9816949,0.1484965,3
0,7,0.9816949,0.1484965,3.5
0,8,0.9816949,0.1484965,4
0,9,0.9816949,0.1484965,4.5
0,10,0.9816949,0.1484965,5
0,11,0.9816949,0.1484965,5.5
0,12,0.9816949,0.1484965,6
0,13,0.9816949,0.1484965,6.5
0,14,0.9716311,0.1774017,7
0,15,0.9529103,0.2202751,7.5
0,16,0.9122881,0.2885286,8
0,17,0.8017827,0.4017432,8.5
0,18,0.4268304,0.4956458,9
0,19,0.4268304,0.4956458,9.5
1,0,0.5,0,0
1,1,0.5,0,0.5
1,2,0.5,0,1
1,3,0.5,0,1.5
1,4,0.5,0,2
1,5,0.5,0,2.5
1,6,0.5,0,3
1,7,0.5,0,3.5
1,8,0.5,0,4
1,9,0.5,0,4.5
1,10,0.5,0,5
1,11,0.5,0,5.5
1,12,0.5,0,6
1,13,0.5,0,6.5
1,14,0.5,0,7
1,15,0.5,0,7.5
1,16,0.5,0,8
1,17,0.5,0,8.5
1,18,0.5,0,9
1,19,0.5,0,9.5
2,0,0.5731695,-0.4956459,0
2,1,0.5731695,-0.4956459,0.5
2,2,0.1982169,-0.4017426,1
2,3,0.08771155,-0.2885271,1.5
2,4,0.04708962,-0.2202745,2
2,5,0.02836863,-0.1774027,2.5
2,6,0.01830521,-0.1484964,3
2,7,0.01830521,-0.1484964,3.5
2,8,0.01830521,-0.1484964,4
2,9,0.01830521,-0.1484964,4.5
2,10,0.01830521,-0.1484964,5
2,11,0.01830521,-0.1484964,5.5
2,12,0.01830521,-0.1484964,6
2,13,0.01830521,-0.1484964,6.5
2,14,0.02836862,-0.1774026,7
2,15,0.04708962,-0.2202745,7.5
2,16,0.08771154,-0.2885271,8
2,17,0.1982168,-0.4017426,8.5
2,18,0.5731696,-0.495646,9
2,19,0.5731696,-0.495646,9.5
3,0,1.216706,-0.6982322,0
3,1,1.216706,-0.6982322,0.5
3,2,0.9635085,-0.8874366,1
3,3,0.7799544,-0.9617448,1.5
3,4,0.6610288,-0.9889681,2
3,5,0.5823002,-0.998837,2.5
3,6,0.5276598,-1.002009,3
3,7,0.5276598,-1.002009,3.5
3,8,0.5276598,-1.002009,4
3,9,0.5276598,-1.002009,4.5
3,10,0.5276598,-1.002009,5
3,11,0.5276598,-1.002009,5.5
3,12,0.5276598,-1.002009,6
3,13,0.5276598,-1.002009,6.5
3,14,0.5823001,-0.998837,7
3,15,0.6610288,-0.9889681,7.5
3,16,0.7799544,-0.9617448,8
3,17,0.9635085,-0.8874366,8.5
3,18,1.216706,-0.6982322,9
3,19,1.216706,-0.6982322,9.5
4,0,1.831185,-0.6920857,0
4,1,1.831185,-0.6920857,0.5
4,2,1.705277,-0.8939489,1
4,3,1.587655,-1.034222,1.5
4,4,1.492541,-1.126104,2
4,5,1.419242,-1.186906,2.5
4,6,1.362967,-1.228591,3
4,7,1.362967,-1.228591,3.5
4,8,1.362967,-1.228591,4
4,9,1.362967,-1.228591,4.5
4,10,1.362967,-1.228591,5
4,11,1.362967,-1.228591,5.5
4,12,1.362967,-1.228591,6
4,13,1.362967,-1.228591,6.5
4,14,1.419242,-1.186907,7
4,15,1.492541,-1.126104,7.5
4,16,1.587655,-1.034222,8
4,17,1.705277,-0.893949,8.5
4,18,1.831185,-0.6920857,9
4,19,1.831185,-0.6920857,9.5
5,0,2.418915,-0.5642896,0
5,1,2.418915,-0.5642896,0.5
5,2,2.358032,-0.7408553,1
5,3,2.293548,-0.8859262,1.5
5,4,2.233824,-0.9980177,2
5,5,2.182292,-1.082822,2.5
5,6,2.182292,-1.082822,3
5,7,2.182292,-1.082822,3.5
5,8,2.182292,-1.082822,4
5,9,2.182292,-1.082822,4.5
5,10,2.182292,-1.082822,5
5,11,2.182292,-1.082822,5.5
5,12,2.182292,-1.082822,6
5,13,2.182292,-1.082822,6.5
5,14,2.182292,-1.082822,7
5,15,2.233824,-0.9980177,7.5
5,16,2.293548,-0.8859262,8
5,17,2.358032,-0.7408553,8.5
5,18,2.418915,-0.5642896,9
5,19,2.418915,-0.5642896,9.5
6,0,2.9671,-0.4046607,0
6,1,2.9671,-0.4046607,0.5
6,2,2.937855,-0.5545275,1
6,3,2.903912,-0.6871503,1.5
6,4,2.869276,-0.7986601,2
6,5,2.869276,-0.7986601,2.5
6,6,2.869276,-0.7986601,3
6,7,2.869276,-0.7986601,3.5
6,8,2.869276,-0.7986601,4
6,9,2.869276,-0.7986601,4.5
6,10,2.869276,-0.7986601,5
6,11,2.869276,-0.7986601,5.5
6,12,2.869276,-0.7986601,6
6,13,2.869276,-0.7986601,6.5
6,14,2.869276,-0.7986601,7
6,15,2.869276,-0.7986601,7.5
6,16,2.903912,-0.6871503,8
6,17,2.937855,-0.5545275,8.5
6,18,2.9671,-0.4046607,9
6,19,2.9671,-0.4046607,9.5
7,0,3.5,0,0
7,1,3.5,0,0.5
7,2,3.5,0,1
7,3,3.5,0,1.5
7,4,3.5,0,2
7,5,3.5,0,2.5
7,6,3.5,0,3
7,7,3.5,0,3.5
7,8,3.5,0,4
7,9,3.5,0,4.5
7,10,3.5,0,5
7,11,3.5,0,5.5
7,12,3.5,0,6
7,13,3.5,0,6.5
7,14,3.5,0,7
7,15,3.5,0,7.5
7,16,3.5,0,8
7,17,3.5,0,8.5
7,18,3.5,0,9
7,19,3.5,0,9.5
8,0,4.0329,-0.4046608,0
8,1,4.0329,-0.4046608,0.5
8,2,4.062147,-0.5545275,1
8,3,4.096086,-0.6871503,1.5
8,4,4.130723,-0.79866,2
8,5,4.130723,-0.79866,2.5
8,6,4.130723,-0.79866,3
8,7,4.130723,-0.79866,3.5
8,8,4.130723,-0.79866,4
8,9,4.130723,-0.79866,4.5
8,10,4.130723,-0.79866,5
8,11,4.130723,-0.79866,5.5
8,12,4.130723,-0.79866,6
8,13,4.130723,-0.79866,6.5
8,14,4.130723,-0.79866,7
8,15,4.130723,-0.79866,7.5
8,16,4.096086,-0.6871503,8
8,17,4.062147,-0.5545275,8.5
8,18,4.0329,-0.4046608,9
8,19,4.0329,-0.4046608,9.5
9,0,4.581084,-0.5642895,0
9,1,4.581084,-0.5642895,0.5
9,2,4.641964,-0.7408552,1
9,3,4.706445,-0.8859254,1.5
9,4,4.766176,-0.998018,2
9,5,4.817698,-1.082822,2.5
9,6,4.817698,-1.082822,3
9,7,4.817698,-1.082822,3.5
9,8,4.817698,-1.082822,4
9,9,4.817698,-1.082822,4.5
9,10,4.817698,-1.082822,5
9,11,4.817698,-1.082822,5.5
9,12,4.817698,-1.082822,6
9,13,4.817698,-1.082822,6.5
9,14,4.817698,-1.082822,7
9,15,4.766176,-0.998018,7.5
9,16,4.706445,-0.8859254,8
9,17,4.641964,-0.7408552,8.5
9,18,4.581084,-0.5642895,9
9,19,4.581084,-0.5642895,9.5
10,0,5.168816,-0.6920857,0
10,1,5.168816,-0.6920857,0.5
10,2,5.294717,-0.8939489,1
10,3,5.41235,-1.034222,1.5
10,4,5.507462,-1.126104,2
10,5,5.580755,-1.186907,2.5
10,6,5.637034,-1.228591,3
10,7,5.637034,-1.228591,3.5
10,8,5.637034,-1.228591,4
10,9,5.637034,-1.228591,4.5
10,10,5.637034,-1.228591,5
10,11,5.637034,-1.228591,5.5
10,12,5.637034,-1.228591,6
10,13,5.637034,-1.228591,6.5
10,14,5.580755,-1.186907,7
10,15,5.507462,-1.126104,7.5
10,16,5.41235,-1.034222,8
10,17,5.294717,-0.893949,8.5
10,18,5.168816,-0.6920857,9
10,19,5.168816,-0.6920857,9.5
11,0,5.783293,-0.6982322,0
11,1,5.783293,-0.6982322,0.5
11,2,6.036496,-0.8874358,1
11,3,6.220051,-0.9617435,1.5
11,4,6.338964,-0.9889715,2
11,5,6.4177,-0.9988378,2.5
11,6,6.472342,-1.002008,3
11,7,6.472342,-1.002008,3.5
11,8,6.472342,-1.002008,4
11,9,6.472342,-1.002008,4.5
11,10,6.472342,-1.002008,5
11,11,6.472342,-1.002008,5.5
11,12,6.472342,-1.002008,6
11,13,6.472342,-1.002008,6.5
11,14,6.4177,-0.9988379,7
11,15,6.338964,-0.9889714,7.5
11,16,6.220051,-0.9617434,8
11,17,6.036496,-0.8874358,8.5
11,18,5.783293,-0.6982322,9
11,19,5.783293,-0.6982322,9.5
12,0,6.426829,-0.4956456,0
12,1,6.426829,-0.4956456,0.5
12,2,6.801782,-0.4017445,1
12,3,6.91229,-0.2885284,1.5
12,4,6.952911,-0.2202693,2
12,5,6.971633,-0.177407,2.5
12,6,6.981696,-0.1484997,3
12,7,6.981696,-0.1484997,3.5
12,8,6.981696,-0.1484997,4
12,9,6.981696,-0.1484997,4.5
12,10,6.981696,-0.1484997,5
12,11,6.981696,-0.1484997,5.5
12,12,6.981696,-0.1484997,6
12,13,6.981696,-0.1484997,6.5
12,14,6.971633,-0.177407,7
12,15,6.952911,-0.2202693,7.5
12,16,6.91229,-0.2885284,8
12,17,6.801782,-0.4017445,8.5
12,18,6.426829,-0.4956456,9
12,19,6.426829,-0.4956456,9.5
13,0,6.5,0,0
13,1,6.5,0,0.5
13,2,6.5,0,1
13,3,6.5,0,1.5
13,4,6.5,0,2
13,5,6.5,0,2.5
13,6,6.5,0,3
13,7,6.5,0,3.5
13,8,6.5,0,4
13,9,6.5,0,4.5
13,10,6.5,0,5
13,11,6.5,0,5.5
13,12,6.5,0,6
13,13,6.5,0,6.5
13,14,6.5,0,7
13,15,6.5,0,7.5
13,16,6.5,0,8
13,17,6.5,0,8.5
13,18,6.5,0,9
13,19,6.5,0,9.5
14,0,6.573171,0.4956456,0
14,1,6.573171,0.4956456,0.5
14,2,6.198218,0.4017445,1
14,3,6.08771,0.2885284,1.5
