X Grid Position, Y  Grid Position, VecX, VecY, VecZ
0,0,0.3636597,0.1092973,0.01530142
0,1,0.3223788,0.06485172,0.5145954
0,2,0.6354329,0.03496131,1.010348
0,3,0.6437177,3.213191E-05,1.507993
0,4,0.3294561,-0.0182786,2.017757
0,5,0.3641886,0.0408405,2.499803
0,6,0.685693,0.00501782,2.997767
0,7,0.7558731,-0.03714761,3.5
0,8,0.685693,0.005017662,4.002233
0,9,0.364189,0.04084054,4.500194
0,10,0.329456,-0.01827859,4.982246
0,11,0.6437171,3.228348E-05,5.492006
0,12,0.635433,0.03496137,5.989651
0,13,0.3223801,0.06485221,6.485402
0,14,0.3636608,0.1092975,6.984696
1,0,0.4828276,-0.388199,0.003076913
1,1,0.4829076,-0.4216653,0.5033671
1,2,0.4832321,-0.4559696,1.003685
1,3,0.4838096,-0.4900985,1.504028
1,4,0.4846168,-0.5227723,2.004393
1,5,0.4841381,-0.4728328,2.498554
1,6,0.4839723,-0.4761369,2.999257
1,7,0.4839143,-0.4771911,3.5
1,8,0.4839723,-0.4761369,4.000743
1,9,0.4841381,-0.4728328,4.501446
1,10,0.4846168,-0.5227723,4.995606
1,11,0.4838096,-0.4900984,5.495973
1,12,0.4832321,-0.4559696,5.996316
1,13,0.4829076,-0.4216653,6.496633
1,14,0.4828276,-0.388199,6.996923
2,0,0.6058292,-0.8949615,-0.009673462
2,1,0.6542374,-0.9199086,0.491549
2,2,0.358061,-0.9625445,0.9962825
2,3,0.3688711,-1.003106,1.499485
2,4,0.6617525,-1.024103,1.991048
2,5,0.6026585,-0.9859341,2.497293
2,6,0.2570358,-0.9376735,3.00056
2,7,0.1893886,-0.8968682,3.5
2,8,0.2570356,-0.9376732,3.99944
2,9,0.6026579,-0.9859341,4.502696
2,10,0.6617529,-1.024103,5.008954
2,11,0.3688712,-1.003106,5.500517
2,12,0.3580598,-0.9625447,6.00371
2,13,0.6542397,-0.9199073,6.508456
2,14,0.605828,-0.8949621,7.00967
3,0,1.265929,-1.062745,-0.01548493
3,1,1.314927,-1.042667,0.4885194
3,2,1.200252,-1.225365,0.9876648
3,3,1.203939,-1.265949,1.492201
3,4,1.315822,-1.170356,1.985744
3,5,1.259365,-1.180655,2.495902
3,6,1.093206,-1.334098,3.002723
3,7,1.033205,-1.374535,3.5
3,8,1.093206,-1.334098,3.997277
3,9,1.259365,-1.180655,4.504098
3,10,1.315823,-1.170355,5.014256
3,11,1.20394,-1.265949,5.507794
3,12,1.200251,-1.225365,6.01234
3,13,1.314927,-1.042667,6.511481
3,14,1.265929,-1.062745,7.015484
4,0,1.8731,-1.033682,-0.01427646
4,1,1.907183,-0.995442,0.4905781
4,2,1.873243,-1.142103,0.9901363
4,3,1.874658,-1.195618,1.49273
4,4,1.909382,-1.158831,1.986997
4,5,1.868533,-1.188724,2.494957
4,6,1.808862,-1.308355,3.001193
4,7,1.785149,-1.34895,3.5
4,8,1.808862,-1.308355,3.998807
4,9,1.868533,-1.188724,4.505042
4,10,1.909382,-1.158831,5.013
4,11,1.874658,-1.195618,5.507272
4,12,1.873243,-1.142103,6.009864
4,13,1.907183,-0.9954417,6.509423
4,14,1.8731,-1.033682,7.014277
5,0,2.505441,-0.6729347,0.004190336
5,1,2.501635,-0.8026258,0.5048133
5,2,2.490489,-0.9681209,1.005566
5,3,2.462263,-1.179012,1.506472
5,4,2.397697,-1.439571,2.007535
5,5,2.433356,-1.286382,2.488351
5,6,2.461713,-1.189803,2.994329
5,7,2.469492,-1.157368,3.5
5,8,2.461713,-1.189803,4.005671
5,9,2.433356,-1.286382,4.511647
5,10,2.397698,-1.439571,4.992465
5,11,2.462263,-1.179012,5.493528
5,12,2.490489,-0.9681207,5.994434
5,13,2.501635,-0.8026258,6.495187
5,14,2.505441,-0.6729346,6.995811
6,0,3.002086,-0.7156643,0.004371034
6,1,2.999548,-0.855951,0.5050449
6,2,2.992979,-1.030755,1.005867
6,3,2.978153,-1.24316,1.506867
6,4,2.948897,-1.48637,2.008075
6,5,2.96562,-1.333888,2.488586
6,6,2.977099,-1.263013,2.994266
6,7,2.980622,-1.237383,3.5
6,8,2.977099,-1.263013,4.005737
6,9,2.96562,-1.333888,4.511416
6,10,2.948897,-1.48637,4.991925
6,11,2.978153,-1.24316,5.493132
6,12,2.992979,-1.030755,5.994133
6,13,2.999548,-0.855951,6.494955
6,14,3.002086,-0.7156641,6.99563
7,0,3.5,-0.7300214,0.00443274
7,1,3.5,-0.8735256,0.5051243
7,2,3.5,-1.050628,1.005969
7,3,3.5,-1.262011,1.507003
7,4,3.5,-1.49758,2.008258
7,5,3.5,-1.346175,2.488749
7,6,3.5,-1.285123,2.994289
7,7,3.5,-1.262365,3.5
7,8,3.5,-1.285124,4.005714
7,9,3.5,-1.346175,4.511252
7,10,3.5,-1.49758,4.99174
7,11,3.5,-1.262011,5.492998
7,12,3.5,-1.050628,5.994028
7,13,3.5,-0.8735254,6.494876
7,14,3.5,-0.7300214,6.995567
8,0,3.997914,-0.7156644,0.004371035
8,1,4.000449,-0.8559512,0.5050449
8,2,4.007021,-1.030755,1.005867
8,3,4.021847,-1.24316,1.506867
