X Grid Position, Y  Grid Position, VecX, VecY, VecZ
0,0,0.4802134,-0.1034886,0.001607363
0,1,0.4918526,-0.09081181,0.5055265
0,2,0.8381502,-0.2579316,0.9998337
0,3,0.9388566,-0.4152789,1.495684
0,4,0.9730598,-0.5095022,1.994427
0,5,0.9870875,-0.5653471,2.495335
0,6,0.9931082,-0.5954683,2.997413
0,7,0.9948258,-0.6050513,3.5
0,8,0.9931112,-0.5954786,4.002587
0,9,0.9870887,-0.5653517,4.504663
0,10,0.9730608,-0.509504,5.005578
0,11,0.9388548,-0.4152757,5.504318
0,12,0.8381376,-0.2579189,6.000167
0,13,0.4918368,-0.09081109,6.494472
0,14,0.4802005,-0.1034876,6.998401
1,0,0.4963613,-0.6383089,-0.002334481
1,1,0.4941167,-0.6077374,0.4978305
1,2,0.4954222,-0.6405225,0.9999549
1,3,0.4966675,-0.6689963,1.499912
1,4,0.4977589,-0.6922628,1.999899
1,5,0.4986098,-0.7094969,2.49992
1,6,0.49915,-0.7200869,2.999949
1,7,0.4993352,-0.7236583,3.5
1,8,0.49915,-0.7200869,4
1,9,0.4986098,-0.7094969,4.50008
1,10,0.4977589,-0.6922627,5.000101
1,11,0.4966675,-0.6689965,5.500076
1,12,0.4954222,-0.6405225,6
1,13,0.4941168,-0.6077366,6.502169
1,14,0.4963613,-0.6383082,7.002334
2,0,0.5098336,-1.16114,-0.006236005
2,1,0.5287063,-1.146685,0.4893437
2,2,0.1671084,-1.035505,0.9999415
2,3,0.07205079,-0.9450788,1.503473
2,4,0.04076802,-0.9036568,2.004578
2,5,0.02837946,-0.8856096,2.503848
2,6,0.02327162,-0.8783253,3.00214
2,7,0.0218534,-0.8763902,3.5
2,8,0.02326825,-0.8783146,3.99786
2,9,0.02837811,-0.8856048,4.496149
2,10,0.04076727,-0.9036551,4.995421
2,11,0.0720526,-0.9450802,5.496527
2,12,0.1671225,-1.035517,6.000062
2,13,0.5287222,-1.146685,6.510652
2,14,0.5098405,-1.161138,7.006237
3,0,1.142119,-1.487521,-0.01143251
3,1,1.159876,-1.462531,0.4838531
3,2,0.9122262,-1.642393,0.9914488
3,3,0.7481251,-1.723476,1.490444
3,4,0.650818,-1.765037,1.991792
3,5,0.5952098,-1.788867,2.494187
3,6,0.5664901,-1.801834,2.997011
3,7,0.5576022,-1.806009,3.5
3,8,0.5664865,-1.801833,4.002991
3,9,0.5952086,-1.788866,4.505814
3,10,0.6508185,-1.765037,5.008209
3,11,0.7481302,-1.723475,5.509561
3,12,0.9122324,-1.642389,6.008544
3,13,1.159883,-1.462524,6.516151
3,14,1.142124,-1.487516,7.011431
4,0,1.77317,-1.597767,-0.01287128
4,1,1.786777,-1.564426,0.4841377
4,2,1.663414,-1.773045,0.991266
4,3,1.560974,-1.916949,1.490123
4,4,1.487618,-2.011911,1.99095
4,5,1.440328,-2.0718,2.49324
4,6,1.414181,-2.105022,2.996409
4,7,1.405841,-2.115691,3.5
4,8,1.41418,-2.105022,4.003594
4,9,1.440328,-2.0718,4.506766
4,10,1.487618,-2.011909,5.009048
4,11,1.560978,-1.916946,5.509882
4,12,1.663417,-1.77304,6.008733
4,13,1.786781,-1.56442,6.515864
4,14,1.773172,-1.597762,7.012872
5,0,2.366295,-1.639804,-0.01290848
5,1,2.375174,-1.601398,0.4852874
5,2,2.314012,-1.797846,0.9923622
5,3,2.258727,-1.951249,1.49167
5,4,2.21526,-2.063234,1.992354
5,5,2.185143,-2.138549,2.49422
5,6,2.167708,-2.181807,2.996905
5,7,2.162027,-2.195902,3.5
5,8,2.167708,-2.181806,4.003097
5,9,2.185143,-2.138548,4.505782
5,10,2.215261,-2.063232,5.007644
5,11,2.258728,-1.951246,5.50833
5,12,2.314014,-1.797842,6.007638
5,13,2.375175,-1.601393,6.514714
5,14,2.366296,-1.639799,7.012905
6,0,2.9378,-1.656242,-0.01266924
6,1,2.942152,-1.615092,0.4861513
6,2,2.916419,-1.800094,0.9932072
6,3,2.892362,-1.951594,1.492816
6,4,2.872605,-2.067364,1.993473
6,5,2.85838,-2.147952,2.49507
6,6,2.849936,-2.19524,2.997355
6,7,2.847148,-2.210805,3.5
6,8,2.849936,-2.195239,4.002648
6,9,2.85838,-2.147951,4.504931
6,10,2.872605,-2.067361,5.006527
6,11,2.892363,-1.951591,5.507184
6,12,2.916419,-1.800091,6.006792
6,13,2.942152,-1.615086,6.513848
6,14,2.937802,-1.656239,7.012669
7,0,3.5,-1.660618,-0.01255626
7,1,3.5,-1.618592,0.4864568
7,2,3.5,-1.799487,0.993506
7,3,3.5,-1.949531,1.493211
7,4,3.5,-2.06572,1.993864
7,5,3.5,-2.147469,2.495371
7,6,3.5,-2.195775,2.997517
7,7,3.5,-2.211731,3.5
7,8,3.5,-2.195774,4.002484
7,9,3.5,-2.147468,4.504629
7,10,3.5,-2.065718,5.006136
7,11,3.5,-1.949527,5.506788
7,12,3.5,-1.799482,6.006495
7,13,3.5,-1.618587,6.513543
