X Grid Position, Y  Grid Position, VecX, VecY, VecZ,,,,,,,,,,,,,
3,2,1.200252,-1.225365,0.9876648,,,,1.200252,0.9876648,-1.225365,,,3,1,1.314927,-1.042667,0.4885194
3,3,1.203939,-1.265949,1.492201,,,,1.203939,1.492201,-1.265949,,,3,2,1.200252,-1.225365,0.9876648
3,4,1.315822,-1.170356,1.985744,,,,1.315822,1.985744,-1.170356,,,3,3,1.203939,-1.265949,1.492201
3,5,1.259365,-1.180655,2.495902,,,,1.259365,2.495902,-1.180655,,,3,4,1.315822,-1.170356,1.985744
3,6,1.093206,-1.334098,3.002723,,,,1.093206,3.002723,-1.334098,,,3,5,1.259365,-1.180655,2.495902
3,7,1.033205,-1.374535,3.5,,,,1.033205,3.5,-1.374535,,,3,6,1.093206,-1.334098,3.002723
3,8,1.093206,-1.334098,3.997277,,,,1.093206,3.997277,-1.334098,,,3,7,1.033205,-1.374535,3.5
3,9,1.259365,-1.180655,4.504098,,,,1.259365,4.504098,-1.180655,,,3,8,1.093206,-1.334098,3.997277
3,10,1.315823,-1.170355,5.014256,,,,1.315823,5.014256,-1.170355,,,3,9,1.259365,-1.180655,4.504098
3,11,1.20394,-1.265949,5.507794,,,,1.20394,5.507794,-1.265949,,,3,10,1.315823,-1.170355,5.014256
3,12,1.200251,-1.225365,6.01234,,,,1.200251,6.01234,-1.225365,,,3,11,1.20394,-1.265949,5.507794
3,13,1.314927,-1.042667,6.511481,,,,1.314927,6.511481,-1.042667,,,3,12,1.200251,-1.225365,6.01234
3,14,1.265929,-1.062745,7.015484,,,,1.265929,7.015484,-1.062745,,,3,13,1.314927,-1.042667,6.511481
4,0,1.8731,-1.033682,-0.01427646,,,,1.8731,-0.01427646,-1.033682,,,3,14,1.265929,-1.062745,7.015484
4,1,1.907183,-0.995442,0.4905781,,,,1.907183,0.4905781,-0.995442,,,4,0,1.8731,-1.033682,-0.01427646
4,2,1.873243,-1.142103,0.9901363,,,,1.873243,0.9901363,-1.142103,,,4,1,1.907183,-0.995442,0.4905781
4,3,1.874658,-1.195618,1.49273,,,,1.874658,1.49273,-1.195618,,,4,2,1.873243,-1.142103,0.9901363
4,4,1.909382,-1.158831,1.986997,,,,1.909382,1.986997,-1.158831,,,4,3,1.874658,-1.195618,1.49273
4,5,1.868533,-1.188724,2.494957,,,,1.868533,2.494957,-1.188724,,,4,4,1.909382,-1.158831,1.986997
4,6,1.808862,-1.308355,3.001193,,,,1.808862,3.001193,-1.308355,,,4,5,1.868533,-1.188724,2.494957
4,7,1.785149,-1.34895,3.5,,,,1.785149,3.5,-1.34895,,,4,6,1.808862,-1.308355,3.001193
4,8,1.808862,-1.308355,3.998807,,,,1.808862,3.998807,-1.308355,,,4,7,1.785149,-1.34895,3.5
4,9,1.868533,-1.188724,4.505042,,,,1.868533,4.505042,-1.188724,,,4,8,1.808862,-1.308355,3.998807
4,10,1.909382,-1.158831,5.013,,,,1.909382,5.013,-1.158831,,,4,9,1.868533,-1.188724,4.505042
4,11,1.874658,-1.195618,5.507272,,,,1.874658,5.507272,-1.195618,,,4,10,1.909382,-1.158831,5.013
4,12,1.873243,-1.142103,6.009864,,,,1.873243,6.009864,-1.142103,,,4,11,1.874658,-1.195618,5.507272
4,13,1.907183,-0.9954417,6.509423,,,,1.907183,6.509423,-0.9954417,,,4,12,1.873243,-1.142103,6.009864
4,14,1.8731,-1.033682,7.014277,,,,1.8731,7.014277,-1.033682,,,4,13,1.907183,-0.9954417,6.509423
5,0,2.505441,-0.6729347,0.004190336,,,,2.505441,0.004190336,-0.6729347,,,4,14,1.8731,-1.033682,7.014277
5,1,2.501635,-0.8026258,0.5048133,,,,2.501635,0.5048133,-0.8026258,,,5,0,2.505441,-0.6729347,0.004190336
5,2,2.490489,-0.9681209,1.005566,,,,2.490489,1.005566,-0.9681209,,,5,1,2.501635,-0.8026258,0.5048133
5,3,2.462263,-1.179012,1.506472,,,,2.462263,1.506472,-1.179012,,,5,2,2.490489,-0.9681209,1.005566
5,4,2.397697,-1.439571,2.007535,,,,2.397697,2.007535,-1.439571,,,5,3,2.462263,-1.179012,1.506472
5,5,2.433356,-1.286382,2.488351,,,,2.433356,2.488351,-1.286382,,,5,4,2.397697,-1.439571,2.007535
5,6,2.461713,-1.189803,2.994329,,,,2.461713,2.994329,-1.189803,,,5,5,2.433356,-1.286382,2.488351
5,7,2.469492,-1.157368,3.5,,,,2.469492,3.5,-1.157368,,,5,6,2.461713,-1.189803,2.994329
5,8,2.461713,-1.189803,4.005671,,,,2.461713,4.005671,-1.189803,,,5,7,2.469492,-1.157368,3.5
5,9,2.433356,-1.286382,4.511647,,,,2.433356,4.511647,-1.286382,,,5,8,2.461713,-1.189803,4.005671
5,10,2.397698,-1.439571,4.992465,,,,2.397698,4.992465,-1.439571,,,5,9,2.433356,-1.286382,4.511647
5,11,2.462263,-1.179012,5.493528,,,,2.462263,5.493528,-1.179012,,,5,10,2.397698,-1.439571,4.992465
5,12,2.490489,-0.9681207,5.994434,,,,2.490489,5.994434,-0.9681207,,,5,11,2.462263,-1.179012,5.493528
5,13,2.501635,-0.8026258,6.495187,,,,2.501635,6.495187,-0.8026258,,,5,12,2.490489,-0.9681207,5.994434
5,14,2.505441,-0.6729346,6.995811,,,,2.505441,6.995811,-0.6729346,,,5,13,2.501635,-0.8026258,6.495187
6,0,3.002086,-0.7156643,0.004371034,,,,3.002086,0.004371034,-0.7156643,,,5,14,2.505441,-0.6729346,6.995811
6,1,2.999548,-0.855951,0.5050449,,,,2.999548,0.5050449,-0.855951,,,6,0,3.002086,-0.7156643,0.004371034
6,2,2.992979,-1.030755,1.005867,,,,2.992979,1.005867,-1.030755,,,6,1,2.999548,-0.855951,0.5050449
6,3,2.978153,-1.24316,1.506867,,,,2.978153,1.506867,-1.24316,,,6,2,2.992979,-1.030755,1.005867
6,4,2.948897,-1.48637,2.008075,,,,2.948897,2.008075,-1.48637,,,6,3,2.978153,-1.24316,1.506867
6,5,2.96562,-1.333888,2.488586,,,,2.96562,2.488586,-1.333888,,,6,4,2.948897,-1.48637,2.008075
6,6,2.977099,-1.263013,2.994266,,,,2.977099,2.994266,-1.263013,,,6,5,2.96562,-1.333888,2.488586
6,7,2.980622,-1.237383,3.5,,,,2.980622,3.5,-1.237383,,,6,6,2.977099,-1.263013,2.994266
6,8,2.977099,-1.263013,4.005737,,,,2.977099,4.005737,-1.263013,,,6,7,2.980622,-1.237383,3.5
6,9,2.96562,-1.333888,4.511416,,,,2.96562,4.511416,-1.333888,,,6,8,2.977099,-1.263013,4.005737
6,10,2.948897,-1.48637,4.991925,,,,2.948897,4.991925,-1.48637,,,6,9,2.96562,-1.333888,4.511416
6,11,2.978153,-1.24316,5.493132,,,,2.978153,5.493132,-1.24316,,,6,10,2.948897,-1.48637,4.991925
6,12,2.992979,-1.030755,5.994133,,,,2.992979,5.994133,-1.030755,,,6,11,2.978153,-1.24316,5.493132
6,13,2.999548,-0.855951,6.494955,,,,2.999548,6.494955,-0.855951,,,6,12,2.992979,-1.030755,5.994133
6,14,3.002086,-0.7156641,6.99563,,,,3.002086,6.99563,-0.7156641,,,6,13,2.999548,-0.855951,6.494955
7,0,3.5,-0.7300214,0.00443274,,,,3.5,0.00443274,-0.7300214,,,6,14,3.002086,-0.7156641,6.99563
7,1,3.5,-0.8735256,0.5051243,,,,3.5,0.5051243,-0.8735256,,,7,0,3.5,-0.7300214,0.00443274
7,2,3.5,-1.050628,1.005969,,,,3.5,1.005969,-1.050628,,,7,1,3.5,-0.8735256,0.5051243
7,3,3.5,-1.262011,1.507003,,,,3.5,1.507003,-1.262011,,,7,2,3.5,-1.050628,1.005969
7,4,3.5,-1.49758,2.008258,,,,3.5,2.008258,-1.49758,,,7,3,3.5,-1.262011,1.507003
7,5,3.5,-1.346175,2.488749,,,,3.5,2.488749,-1.346175,,,7,4,3.5,-1.49758,2.008258
7,6,3.5,-1.285123,2.994289,,,,3.5,2.994289,-1.285123,,,7,5,3.5,-1.346175,2.488749
7,7,3.5,-1.262365,3.5,,,,3.5,3.5,-1.262365,,,7,6,3.5,-1.285123,2.994289
7,8,3.5,-1.285124,4.005714,,,,3.5,4.005714,-1.285124,,,7,7,3.5,-1.262365,3.5
7,9,3.5,-1.346175,4.511252,,,,3.5,4.511252,-1.346175,,,7,8,3.5,-1.285124,4.005714
7,10,3.5,-1.49758,4.99174,,,,3.5,4.99174,-1.49758,,,7,9,3.5,-1.346175,4.511252
7,11,3.5,-1.262011,5.492998,,,,3.5,5.492998,-1.262011,,,7,10,3.5,-1.49758,4.99174
7,12,3.5,-1.050628,5.994028,,,,3.5,5.994028,-1.050628,,,7,11,3.5,-1.262011,5.492998
7,13,3.5,-0.8735254,6.494876,,,,3.5,6.494876,-0.8735254,,,7,12,3.5,-1.050628,5.994028
7,14,3.5,-0.7300214,6.995567,,,,3.5,6.995567,-0.7300214,,,7,13,3.5,-0.8735254,6.494876
8,0,3.997914,-0.7156644,0.004371035,,,,3.997914,0.004371035,-0.7156644,,,7,14,3.5,-0.7300214,6.995567
8,1,4.000449,-0.8559512,0.5050449,,,,4.000449,0.5050449,-0.8559512,,,,,,,
8,2,4.007021,-1.030755,1.005867,,,,4.007021,1.005867,-1.030755,,,,,,,
8,3,4.021847,-1.24316,1.506867,,,,4.021847,1.506867,-1.24316,,,,,,,
8,4,4.051103,-1.48637,2.008075,,,,4.051103,2.008075,-1.48637,,,,,,,
8,5,4.034378,-1.333888,2.488586,,,,4.034378,2.488586,-1.333888,,,,,,,
8,6,4.022901,-1.263013,2.994266,,,,4.022901,2.994266,-1.263013,,,,,,,
8,7,4.019379,-1.237383,3.5,,,,4.019379,3.5,-1.237383,,,,,,,
8,8,4.022901,-1.263013,4.005737,,,,4.022901,4.005737,-1.263013,,,,,,,
8,9,4.034378,-1.333888,4.511416,,,,4.034378,4.511416,-1.333888,,,,,,,
8,10,4.051103,-1.48637,4.991925,,,,4.051103,4.991925,-1.48637,,,,,,,
8,11,4.021847,-1.24316,5.493132,,,,4.021847,5.493132,-1.24316,,,,,,,
8,12,4.007021,-1.030755,5.994133,,,,4.007021,5.994133,-1.030755,,,,,,,
8,13,4.000449,-0.8559511,6.494955,,,,4.000449,6.494955,-0.8559511,,,,,,,
8,14,3.997914,-0.7156641,6.99563,,,,3.997914,6.99563,-0.7156641,,,,,,,
9,0,4.494557,-0.6729348,0.004190338,,,,4.494557,0.004190338,-0.6729348,,,,,,,
9,1,4.498352,-0.8026265,0.5048133,,,,4.498352,0.5048133,-0.8026265,,,,,,,
9,2,4.50951,-0.9681212,1.005566,,,,4.50951,1.005566,-0.9681212,,,,,,,
9,3,4.537739,-1.179012,1.506472,,,,4.537739,1.506472,-1.179012,,,,,,,
9,4,4.602307,-1.439571,2.007535,,,,4.602307,2.007535,-1.439571,,,,,,,
9,5,4.566655,-1.286382,2.488351,,,,4.566655,2.488351,-1.286382,,,,,,,
9,6,4.538288,-1.189803,2.994329,,,,4.538288,2.994329,-1.189803,,,,,,,
9,7,4.530509,-1.157368,3.5,,,,4.530509,3.5,-1.157368,,,,,,,
9,8,4.538288,-1.189803,4.005671,,,,4.538288,4.005671,-1.189803,,,,,,,
9,9,4.566655,-1.286382,4.511647,,,,4.566655,4.511647,-1.286382,,,,,,,
9,10,4.602307,-1.439571,4.992465,,,,4.602307,4.992465,-1.439571,,,,,,,
9,11,4.537739,-1.179012,5.493528,,,,4.537739,5.493528,-1.179012,,,,,,,
9,12,4.50951,-0.968121,5.994434,,,,4.50951,5.994434,-0.968121,,,,,,,
9,13,4.498352,-0.8026264,6.495187,,,,4.498352,6.495187,-0.8026264,,,,,,,
9,14,4.494557,-0.6729347,6.995811,,,,4.494557,6.995811,-0.6729347,,,,,,,
10,0,5.126901,-1.033682,-0.01427645,,,,5.126901,-0.01427645,-1.033682,,,,,,,
10,1,5.09282,-0.995442,0.4905781,,,,5.09282,0.4905781,-0.995442,,,,,,,
10,2,5.126748,-1.142102,0.9901362,,,,5.126748,0.9901362,-1.142102,,,,,,,
10,3,5.125349,-1.195619,1.49273,,,,5.125349,1.49273,-1.195619,,,,,,,
10,4,5.09062,-1.158831,1.986997,,,,5.09062,1.986997,-1.158831,,,,,,,
10,5,5.131464,-1.188724,2.494957,,,,5.131464,2.494957,-1.188724,,,,,,,
10,6,5.19114,-1.308355,3.001193,,,,5.19114,3.001193,-1.308355,,,,,,,
10,7,5.214849,-1.34895,3.5,,,,5.214849,3.5,-1.34895,,,,,,,
10,8,5.19114,-1.308355,3.998807,,,,5.19114,3.998807,-1.308355,,,,,,,
10,9,5.131464,-1.188724,4.505042,,,,5.131464,4.505042,-1.188724,,,,,,,
10,10,5.09062,-1.158831,5.013,,,,5.09062,5.013,-1.158831,,,,,,,
10,11,5.125349,-1.195619,5.507272,,,,5.125349,5.507272,-1.195619,,,,,,,
10,12,5.126748,-1.142102,6.009864,,,,5.126748,6.009864,-1.142102,,,,,,,
10,13,5.09282,-0.9954418,6.509423,,,,5.09282,6.509423,-0.9954418,,,,,,,
10,14,5.126901,-1.033682,7.014277,,,,5.126901,7.014277,-1.033682,,,,,,,
11,0,5.734073,-1.062745,-0.01548491,,,,5.734073,-0.01548491,-1.062745,,,,,,,
11,1,5.685076,-1.042667,0.4885194,,,,5.685076,0.4885194,-1.042667,,,,,,,
11,2,5.799745,-1.225366,0.9876644,,,,5.799745,0.9876644,-1.225366,,,,,,,
11,3,5.796062,-1.265949,1.492202,,,,5.796062,1.492202,-1.265949,,,,,,,
11,4,5.684173,-1.170356,1.985744,,,,5.684173,1.985744,-1.170356,,,,,,,
